label,cluster_no
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
maize,4
maize,2
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,2
maize,4
maize,4
maize,0
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,0
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
maize,4
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
chickpea,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
kidneybeans,0
